[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000605s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000624s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002665s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ view_end ] --START--
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000717s ]
[ 2012-09-06T16:03:30+08:00 ] /rbac.php/Role/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000761s ]
[ 2012-09-06T16:03:34+08:00 ] /rbac.php/User/index/ | INFO: Tag[ route_check ] --START--
[ 2012-09-06T16:03:34+08:00 ] /rbac.php/User/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.000794s ]
[ 2012-09-06T16:03:34+08:00 ] /rbac.php/User/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000873s ]
[ 2012-09-06T16:03:34+08:00 ] /rbac.php/User/index/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-06T16:03:34+08:00 ] /rbac.php/User/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000904s ]
