[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_parse ] --START--
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Run ParseTemplate Behavior [ RunTime:0.006641s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006712s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_filter ] --START--
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Run ContentReplace Behavior [ RunTime:0.000447s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Run TokenBuild Behavior [ RunTime:0.000514s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000386s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Run ShowRuntime Behavior [ RunTime:0.000538s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002021s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_end ] --START--
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Run ShowPageTrace Behavior [ RunTime:0.000514s ]
[ 2012-07-05T14:03:09+08:00 ] /rbac.php/Public/footer | INFO: Tag[ view_end ] --END-- [ RunTime:0.000560s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ route_check ] --START--
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Run CheckRoute Behavior [ RunTime:0.000776s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.000874s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000531s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000602s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003898s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000430s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_template ] --START--
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Run LocationTemplate Behavior [ RunTime:0.000387s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.000455s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_parse ] --START--
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Run ParseTemplate Behavior [ RunTime:0.008441s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008513s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_filter ] --START--
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Run ContentReplace Behavior [ RunTime:0.000291s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Run TokenBuild Behavior [ RunTime:0.000435s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000177s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Run ShowRuntime Behavior [ RunTime:0.000343s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001385s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_end ] --START--
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.000347s ]
[ 2012-07-05T14:03:51+08:00 ] /rbac.php/Public/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.000396s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000856s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000956s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000537s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000604s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.004398s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000515s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000734s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000800s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.007556s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007637s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000310s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000488s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000206s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000411s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001579s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000442s ]
[ 2012-07-05T14:03:52+08:00 ] /rbac.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000504s ]
