[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Tag[ view_parse ] --START--
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run ParseTemplate Behavior [ RunTime:0.003404s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.045608s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Tag[ view_filter ] --START--
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run ContentReplace Behavior [ RunTime:0.000087s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run TokenBuild Behavior [ RunTime:0.000084s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000023s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run ShowRuntime Behavior [ RunTime:0.000110s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.046228s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Tag[ view_end ] --START--
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000038s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.045950s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run ParseTemplate Behavior [ RunTime:0.000150s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.045608s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Tag[ view_filter ] --START--
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run ContentReplace Behavior [ RunTime:0.000240s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run TokenBuild Behavior [ RunTime:0.000241s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000023s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run ShowRuntime Behavior [ RunTime:0.000153s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.047120s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Tag[ view_end ] --START--
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000039s ]
[ 2012-07-28T10:59:11+08:00 ] /Index.php?s=/Chanpin/zituanplan/marktype/%E6%8E%A5%E5%BE%85%E8%AE%A1%E5%88%92/chanpinID/31353 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.047214s ]
