[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002983s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000319s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_template ] --START--
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run LocationTemplate Behavior [ RunTime:0.000115s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_template ] --END-- [ RunTime:-0.027955s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_parse ] --START--
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run ParseTemplate Behavior [ RunTime:0.001161s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.006377s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_filter ] --START--
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run ContentReplace Behavior [ RunTime:0.000038s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run TokenBuild Behavior [ RunTime:0.000037s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000010s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run ShowRuntime Behavior [ RunTime:0.000049s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.006397s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_end ] --START--
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run ShowPageTrace Behavior [ RunTime:0.000017s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_end ] --END-- [ RunTime:-0.006268s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run ParseTemplate Behavior [ RunTime:0.000059s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.006377s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_filter ] --START--
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run ContentReplace Behavior [ RunTime:0.000144s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run TokenBuild Behavior [ RunTime:0.000114s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000010s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run ShowRuntime Behavior [ RunTime:0.000069s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.006780s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_end ] --START--
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Run ShowPageTrace Behavior [ RunTime:0.000016s ]
[ 2012-07-10T12:08:15+08:00 ] /Index.php?s=/Xiaoshou | INFO: Tag[ view_end ] --END-- [ RunTime:-0.006867s ]
[ 2012-07-10T12:08:32+08:00 ] /Index.php?s=/Chanpin/shenhe | INFO: Tag[ route_check ] --START--
[ 2012-07-10T12:08:32+08:00 ] /Index.php?s=/Chanpin/shenhe | INFO: Run CheckRoute Behavior [ RunTime:0.000990s ]
[ 2012-07-10T12:08:32+08:00 ] /Index.php?s=/Chanpin/shenhe | INFO: Tag[ route_check ] --END-- [ RunTime:0.001077s ]
[ 2012-07-10T12:08:32+08:00 ] /Index.php?s=/Chanpin/shenhe | INFO: Tag[ app_begin ] --START--
[ 2012-07-10T12:08:32+08:00 ] /Index.php?s=/Chanpin/shenhe | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000654s ]
[ 2012-07-10T12:08:32+08:00 ] /Index.php?s=/Chanpin/shenhe | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000704s ]
[ 2012-07-10T12:08:32+08:00 ] /Index.php?s=/Chanpin/shenhe | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003400s ]
[ 2012-07-10T12:08:32+08:00 ] /Index.php?s=/Chanpin/shenhe | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000379s ]
[ 2012-07-10T12:08:33+08:00 ] /Index.php?s=/Chanpin/shenhe | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003427s ]
