[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002556s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002493s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31360'  [ RunTime:0.000128s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002485s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002457s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31361'  [ RunTime:0.000130s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002515s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002605s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31362'  [ RunTime:0.000187s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002469s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SHOW COLUMNS FROM `myerp_dataCD` [ RunTime:0.002470s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | SQL: SELECT * FROM `myerp_dataCD` WHERE 1=1 AND dingdanID='31367'  [ RunTime:0.000131s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined variable: man_num MethodAction.class.php 第 1265 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 1262 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined variable: tuanyuan_num MethodAction.class.php 第 1269 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined variable: woman_num MethodAction.class.php 第 1300 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined variable: xianlu MethodAction.class.php 第 1310 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | INFO: Tag[ view_template ] --START--
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000616s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000664s ]
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | INFO: Tag[ view_parse ] --START--
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined index:  pinyin ec784210fbc845bd882a38f162a70c17.php 第 431 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined index:  chushengriqi ec784210fbc845bd882a38f162a70c17.php 第 446 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined index:  hujidi ec784210fbc845bd882a38f162a70c17.php 第 453 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined index:  zhengjianyouxiaoqi ec784210fbc845bd882a38f162a70c17.php 第 470 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined index:  pinyin ec784210fbc845bd882a38f162a70c17.php 第 566 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined index:  chushengriqi ec784210fbc845bd882a38f162a70c17.php 第 581 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined index:  hujidi ec784210fbc845bd882a38f162a70c17.php 第 588 行.
[ 2012-07-26T09:35:08+08:00 ] /Index.php?s=/Chanpin/_tuanyuan_exports/chanpinID/31353/type/%E6%A0%BC%E5%BC%8F1 | NOTIC: [8] Undefined index:  zhengjianyouxiaoqi ec784210fbc845bd882a38f162a70c17.php 第 605 行.
