[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.005207s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE 1=1 AND chanpinID='31578' LIMIT 1   [ RunTime:0.000409s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002699s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002800s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.005314s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE 1=1 AND chanpinID='31577' LIMIT 1   [ RunTime:0.000428s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002804s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002832s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.005218s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE 1=1 AND chanpinID='31576' LIMIT 1   [ RunTime:0.000381s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002776s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002843s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.005129s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE 1=1 AND chanpinID='31575' LIMIT 1   [ RunTime:0.000427s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002618s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002935s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.005583s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE 1=1 AND chanpinID='31574' LIMIT 1   [ RunTime:0.000436s ]
