[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Run TokenBuild Behavior [ RunTime:0.000135s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Run ShowRuntime Behavior [ RunTime:0.000078s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.017883s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_end ] --START--
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.017779s ]
[ 2012-08-21T10:36:15+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ route_check ] --START--
[ 2012-08-21T10:36:15+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run CheckRoute Behavior [ RunTime:0.000729s ]
[ 2012-08-21T10:36:15+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000810s ]
[ 2012-08-21T10:36:15+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T10:36:15+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000526s ]
[ 2012-08-21T10:36:15+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%8A%A5%E8%B4%A6%E5%8D%95 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000594s ]
