[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Run CheckRoute Behavior [ RunTime:0.000543s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Tag[ route_check ] --END-- [ RunTime:0.000601s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Tag[ app_begin ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000340s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000383s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003028s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000337s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | NOTIC: [8] Undefined index:  parentID MessageAction.class.php 第 83 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | SQL: SHOW COLUMNS FROM `myerp_liandong` [ RunTime:0.002392s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Message/liandong | SQL: SELECT * FROM `myerp_liandong` WHERE (  (`pid` BETWEEN '1' AND '99' ) )  [ RunTime:0.000244s ]
[ 2012-07-10T09:41:40+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ route_check ] --START--
[ 2012-07-10T09:41:40+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run CheckRoute Behavior [ RunTime:0.000844s ]
[ 2012-07-10T09:41:40+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000936s ]
