[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_roles` [ RunTime:0.002767s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_roles` WHERE `systemID` = '40185' LIMIT 1   [ RunTime:0.000307s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002635s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000356s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002896s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000331s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_dataShenhe` [ RunTime:0.002817s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SELECT * FROM `myerp_dataShenhe` WHERE `datatype` = '线路' and `processID` = '2'  [ RunTime:0.000185s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002919s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000287s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_taskshenhe` [ RunTime:0.002711s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | NOTIC: [8] Undefined variable: processID MethodAction.class.php 第 832 行.
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_taskshenhe` WHERE `dataID` = '31175' and `datatype` = '线路' and `status` = '待检出' LIMIT 1   [ RunTime:0.000360s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\MethodAction.class.php on line 741 and defined MethodAction.class.php 第 750 行.
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 752 行.
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.002361s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40449'  [ RunTime:0.000200s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002415s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31175 ) AND ( `datatype` = '线路' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000201s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_roles` [ RunTime:0.002745s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_roles` WHERE `systemID` = '40185' LIMIT 1   [ RunTime:0.000281s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002630s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000308s ]
[ 2012-07-20T11:12:39+08:00 ] /Index.php?s=/Chanpin/zituan/chanpinID/31175 | INFO: Tag[ view_template ] --START--
